arrival,flowID,packetsizeBytes
2.7600534458589004e-07,3072,1500
8.71757985857695e-07,13,1500
1.203160991299412e-06,12142,64
2.1316110229351278e-06,7134,1500
2.206907942256987e-06,2545,1500
2.411644670805346e-06,7,1500
4.0058411625077605e-06,8,596
4.8603100510736055e-06,3,1500
5.203824296843105e-06,18,1500
7.239808132580823e-06,6,64
7.589093052718162e-06,13797,64
8.198440091662762e-06,1,1500
9.162518428352058e-06,10232,64
1.024962309720042e-05,3,596
1.045740884512954e-05,2774,64
1.0523348713847463e-05,12,1500
1.1013315414054107e-05,5459,1500
1.127850015927938e-05,15893,64
1.365285622524055e-05,7422,1500
1.5134584808252847e-05,17,1500
1.572798829134652e-05,4,1500
1.9065664530763826e-05,18,596
1.9086402711764885e-05,4813,1500
2.1341087802907924e-05,17,64
2.17522070093094e-05,19,1500
2.2156891069642026e-05,7,64
2.2186151168463727e-05,7,1500
2.222712840748888e-05,0,596
2.2314707255423647e-05,15042,64
2.2539030372368983e-05,6,64
2.2552128816958145e-05,6913,64
2.2851970865608914e-05,14,596
2.2863276085098486e-05,15,1500
2.3828638602584604e-05,9473,64
2.437743891610987e-05,10358,1500
2.474335402972404e-05,6,64
2.5148394475363237e-05,3665,64
2.5270663232057768e-05,11,1500
2.544592989820825e-05,13,64
2.6447437144264207e-05,19692,1500
2.6715670445914207e-05,1687,1500
2.845301124893699e-05,1,64
2.8899704427964028e-05,2858,1500
2.9673753218462057e-05,14,596
2.9842301346451414e-05,2,64
3.0163668672443915e-05,1201,64
3.0191837753098514e-05,10,1500
3.110211647501945e-05,10542,64
3.213984964535552e-05,19,1500
3.4212118841196063e-05,15,596
3.585144670760472e-05,4972,64
3.6186521334457967e-05,12720,596
3.629443624211609e-05,5,596
3.663315467337402e-05,10,1500
3.703842867358771e-05,1500,64
3.763718838364025e-05,15,64
3.843573520610809e-05,13934,596
3.8582198068995725e-05,1,64
4.064095579806037e-05,7,1500
4.107915339878454e-05,5926,1500
4.1927215016046634e-05,14104,1500
4.274978421953971e-05,17,1500
