id,traffic,traffic
0,246108378.52098054,0.246108379
1,245022490.3036522,0.24502249
2,254907701.98385894,0.254907702
3,253995811.14648917,0.253995811
4,258583379.5803778,0.25858338
5,241356064.01867855,0.241356064
6,240373193.70412913,0.240373194
7,252872217.25758475,0.252872217
8,247757442.4515267,0.247757442
9,240779698.5146081,0.240779699
10,243701821.62300265,0.243701822
11,250860088.48556346,0.250860088
12,259135081.5426761,0.259135082
13,243439443.7836545,0.243439444
14,243296025.80703312,0.243296026
15,252029751.18829504,0.252029751
16,253751628.67815292,0.253751629
17,240820640.57729647,0.240820641
18,252906638.3180663,0.252906638
19,259507944.02426144,0.259507944
-1,5019552229.181189,5.019552229
